Filling Mass,Type
3.12,Regular
4,Regular
3.47,Regular
3.11,Regular
3.36,Regular
3.13,Regular
3.34,Regular
2.79,Regular
3.24,Regular
2.99,Regular
3.08,Regular
3.76,Regular
2.71,Double Stuf
3.46,Regular
3.15,Regular
2.68,Regular
4.08,Regular
2.98,Regular
3.85,Regular
2.92,Regular
2.62,Regular
3.22,Regular
3.33,Regular
2.66,Regular
3.51,Regular
3.19,Regular
3.61,Regular
3.15,Regular
2.76,Regular
2.76,Regular
3.34,Regular
2.99,Regular
2.69,Regular
2.91,Regular
3.39,Regular
3.11,Regular
6.82,Double Stuf
7.03,Double Stuf
7.38,Regular
6.95,Double Stuf
6.74,Double Stuf
7.58,Double Stuf
7.39,Double Stuf
7.15,Double Stuf
6.71,Double Stuf
6.67,Double Stuf
7.4,Double Stuf
6.82,Double Stuf
6.1,Double Stuf
6.53,Double Stuf
6.93,Double Stuf
7.36,Double Stuf
7.19,Double Stuf
7.21,Double Stuf
6.82,Double Stuf
7.07,Double Stuf
7.24,Double Stuf
6.88,Double Stuf
7.17,Double Stuf
7.32,Double Stuf
7.47,Double Stuf
7.07,Double Stuf
7.01,Double Stuf
7.37,Double Stuf
6.9,Double Stuf
6.02,Double Stuf
